id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
95,https://www.globalknowledge.com/us-en/course/171114/epnm100-configuring-and-operating-cisco-epn-manager-v30/,"EPNM100 - Configuring and Operating Cisco EPN Manager v3.0
Learn to install, provision, monitor, and maintain a packet and optical multi-layer network using Cisco Evolved Programmable Network (EPN) Manager.",,USD,GK# 8650,,,,,Global Knowledge,USA
96,https://www.globalknowledge.com/us-en/course/92646/nso300-cisco-nso-advanced-for-python-programmers-v40/,"NSO300 - Cisco NSO Advanced for Python Programmers v4.0
Introduces learners to developing advanced services using Cisco Network Services Orchestrator (NSO) programmability with Python scripting.",,USD,GK# 5394,,,,,Global Knowledge,USA
97,https://www.globalknowledge.com/us-en/course/181198/ensld-designing-cisco-enterprise-networks-v20/,"ENSLD - Designing Cisco Enterprise Networks v2.0
Take a deep dive into Cisco enterprise network design.",3595.0,USD,GK# 100478,5 Days,"Aug 26 - 30, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
97,https://www.globalknowledge.com/us-en/course/181198/ensld-designing-cisco-enterprise-networks-v20/,"ENSLD - Designing Cisco Enterprise Networks v2.0
Take a deep dive into Cisco enterprise network design.",3595.0,USD,GK# 100478,5 Days,"Aug 26 - 30, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
97,https://www.globalknowledge.com/us-en/course/181198/ensld-designing-cisco-enterprise-networks-v20/,"ENSLD - Designing Cisco Enterprise Networks v2.0
Take a deep dive into Cisco enterprise network design.",3595.0,USD,GK# 100478,5 Days,"Sep 30 - Oct 04, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
97,https://www.globalknowledge.com/us-en/course/181198/ensld-designing-cisco-enterprise-networks-v20/,"ENSLD - Designing Cisco Enterprise Networks v2.0
Take a deep dive into Cisco enterprise network design.",3595.0,USD,GK# 100478,5 Days,"Nov 18 - 22, 2024",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
97,https://www.globalknowledge.com/us-en/course/181198/ensld-designing-cisco-enterprise-networks-v20/,"ENSLD - Designing Cisco Enterprise Networks v2.0
Take a deep dive into Cisco enterprise network design.",3595.0,USD,GK# 100478,5 Days,"Jan 06 - 10, 2025",,8:30 AM - 4:30 PM EST,Global Knowledge,USA
98,https://www.globalknowledge.com/us-en/course/181216/swsa-securing-the-web-with-cisco-web-security-appliance-v30/,"SWSA - Securing the Web with Cisco Web Security Appliance v3.0
Implement, use, and maintain Cisco Web Security Appliance (WSA), powered by Cisco Talos, to provide advanced protection for business email and control against web security threats.",1995.0,USD,GK# 100496,2 Days,"Oct 17 - 18, 2024",,ONLINE,Global Knowledge,USA
98,https://www.globalknowledge.com/us-en/course/181216/swsa-securing-the-web-with-cisco-web-security-appliance-v30/,"SWSA - Securing the Web with Cisco Web Security Appliance v3.0
Implement, use, and maintain Cisco Web Security Appliance (WSA), powered by Cisco Talos, to provide advanced protection for business email and control against web security threats.",1995.0,USD,GK# 100496,2 Days,"Oct 17 - 18, 2024",,ONLINE,Global Knowledge,USA
99,https://www.globalknowledge.com/us-en/course/181246/spaui-implementing-automation-for-cisco-service-provider-solutions-v12/,"SPAUI - Implementing Automation for Cisco Service Provider Solutions v1.2
Implement and support automation solutions in a Cisco Service Provider network infrastructure, using network programmability principles, protocols, tools, and mechanisms.",3000.0,USD,GK# 100526,3 Days,"Oct 02 - 04, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
